GeneID,ModuleID
SYNPCC7002_A2542,11
SYNPCC7002_A2544,2
SYNPCC7002_A2547,3
SYNPCC7002_A2559,15
SYNPCC7002_A2560,15
SYNPCC7002_A2562,18
SYNPCC7002_A2566,9
SYNPCC7002_A2567,18
SYNPCC7002_A2574,5
SYNPCC7002_A2584,15
SYNPCC7002_A2590,15
SYNPCC7002_A2595,10
SYNPCC7002_A2596,10
SYNPCC7002_A2597,10
SYNPCC7002_A2604,18
SYNPCC7002_A2610,9
SYNPCC7002_A2611,17
SYNPCC7002_A2613,9
SYNPCC7002_A2615,2
SYNPCC7002_A2616,2
SYNPCC7002_A2620,1
SYNPCC7002_A2621,13
SYNPCC7002_A2630,18
SYNPCC7002_A2633,15
SYNPCC7002_A2634,9
SYNPCC7002_A2635,11
SYNPCC7002_A2637,8
SYNPCC7002_A2640,12
SYNPCC7002_A2641,12
SYNPCC7002_A2645,9
SYNPCC7002_A2653,22
SYNPCC7002_A2657,19
SYNPCC7002_A2658,19
SYNPCC7002_A2659,19
SYNPCC7002_A2660,19
SYNPCC7002_A2662,19
SYNPCC7002_A2663,19
SYNPCC7002_A2664,19
SYNPCC7002_A2667,45
SYNPCC7002_A2670,1
SYNPCC7002_A2671,1
SYNPCC7002_A2672,1
SYNPCC7002_A2673,1
SYNPCC7002_A2674,1
SYNPCC7002_A2675,1
SYNPCC7002_A2676,1
SYNPCC7002_A2683,4
SYNPCC7002_A2689,16
SYNPCC7002_A2691,15
SYNPCC7002_A2693,8
SYNPCC7002_A2694,5
SYNPCC7002_A2696,1
SYNPCC7002_A2697,11
SYNPCC7002_A2699,12
SYNPCC7002_A2700,2
SYNPCC7002_A2704,8
SYNPCC7002_A2706,17
SYNPCC7002_A2708,3
SYNPCC7002_A2709,1
SYNPCC7002_A2710,13
SYNPCC7002_A2715,12
SYNPCC7002_A2719,45
SYNPCC7002_A2726,21
SYNPCC7002_A2733,11
SYNPCC7002_A2735,9
SYNPCC7002_A2738,13
SYNPCC7002_A2740,45
SYNPCC7002_A2743,15
SYNPCC7002_A2745,5
SYNPCC7002_A2746,19
SYNPCC7002_A2748,3
SYNPCC7002_A2749,3
SYNPCC7002_A2750,3
SYNPCC7002_A2751,11
SYNPCC7002_A2756,6
SYNPCC7002_A2759,2
SYNPCC7002_A2760,4
SYNPCC7002_A2767,12
SYNPCC7002_A2768,2
SYNPCC7002_A2772,13
SYNPCC7002_A2774,13
SYNPCC7002_A2775,11
SYNPCC7002_A2777,11
SYNPCC7002_A2781,10
SYNPCC7002_A2786,45
SYNPCC7002_A2787,45
SYNPCC7002_A2789,21
SYNPCC7002_A2796,11
SYNPCC7002_A2804,3
SYNPCC7002_A2807,20
SYNPCC7002_A2809,4
SYNPCC7002_A2811,5
SYNPCC7002_A2812,15
SYNPCC7002_A2820,8
SYNPCC7002_A2824,5
SYNPCC7002_A2829,12
SYNPCC7002_A2833,22
SYNPCC7002_A2834,8
SYNPCC7002_A2837,10
SYNPCC7002_A2850,17
SYNPCC7002_A2851,22
SYNPCC7002_A2852,22
SYNPCC7002_A2853,22
SYNPCC7002_A2857,9
SYNPCC7002_A2859,16
SYNPCC7002_A2861,6
SYNPCC7002_A2862,15
SYNPCC7002_A2865,17
SYNPCC7002_A2866,2
SYNPCC7002_A2867,21
SYNPCC7002_A2870,9
SYNPCC7002_A2872,9
SYNPCC7002_A2880,4
SYNPCC7002_B0003,21
SYNPCC7002_C0008,21
SYNPCC7002_C0015,5
SYNPCC7002_D0002,16
SYNPCC7002_D0004,10
SYNPCC7002_D0014,9
SYNPCC7002_D0022,19
SYNPCC7002_D0023,4
SYNPCC7002_D0024,4
SYNPCC7002_D0025,4
SYNPCC7002_D0027,21
SYNPCC7002_D0029,8
SYNPCC7002_E0001,3
SYNPCC7002_E0006,17
SYNPCC7002_E0007,17
SYNPCC7002_E0008,3
SYNPCC7002_E0011,21
SYNPCC7002_E0017,16
SYNPCC7002_E0024,2
SYNPCC7002_F0002,1
SYNPCC7002_F0003,19
SYNPCC7002_F0014,23
SYNPCC7002_F0017,13
SYNPCC7002_F0024,4
SYNPCC7002_F0037,9
SYNPCC7002_F0039,9
